"dy [cm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.2,5.65,0,-142.5,-4.98554580310076
3.2,5.65,0,-142.4,-4.98479305964838
3.2,5.65,0,-142.3,-4.98373364141148
3.2,5.65,0,-142.2,-4.98236805382639
3.2,5.65,0,-142.1,-4.98069687935822
3.2,5.65,0,-142,-4.97872077687696
3.2,5.65,0,-141.9,-4.976440480977
3.2,5.65,0,-141.8,-4.97385680124131
3.2,5.65,0,-141.7,-4.97097062145129
3.2,5.65,0,-141.6,-4.96778289874383
3.2,5.65,0,-141.5,-4.96429466271657
3.2,5.65,0,-141.4,-4.96050701448301
3.2,5.65,0,-141.3,-4.95642112567897
3.2,5.65,0,-141.2,-4.95203823742169
3.2,5.65,0,-141.1,-4.94735965922356
3.2,5.65,0,-141,-4.94238676786171
3.2,5.65,0,-140.9,-4.93712100620563
3.2,5.65,0,-140.8,-4.93156388200414
3.2,5.65,0,-140.7,-4.92571696663395
3.2,5.65,0,-140.6,-4.91958189381125
3.2,5.65,0,-140.5,-4.91316035826857
3.2,5.65,0,-140.4,-4.90645411439856
3.2,5.65,0,-140.3,-4.89946497486683
3.2,5.65,0,-140.2,-4.89219480919559
3.2,5.65,0,-140.1,-4.88464554232041
3.2,5.65,0,-140,-4.87681915312162
3.2,5.65,0,-139.9,-4.8687176729329
3.2,5.65,0,-139.8,-4.86034318402847
3.2,5.65,0,-139.7,-4.85169781809152
3.2,5.65,0,-139.6,-4.84278375466529
3.2,5.65,0,-139.5,-4.83360321958919
3.2,5.65,0,-139.4,-4.82415848342175
3.2,5.65,0,-139.3,-4.81445185985247
3.2,5.65,0,-139.2,-4.80448570410438
3.2,5.65,0,-139.1,-4.79426241132937
3.2,5.65,0,-139,-4.78378441499807
3.2,5.65,0,-138.9,-4.77305418528623
3.2,5.65,0,-138.8,-4.76207422745931
3.2,5.65,0,-138.7,-4.75084708025723
3.2,5.65,0,-138.6,-4.73937531428095
3.2,5.65,0,-138.5,-4.72766153038243
3.2,5.65,0,-138.4,-4.71570835806001
3.2,5.65,0,-138.3,-4.70351845386048
3.2,5.65,0,-138.2,-4.69109449978957
3.2,5.65,0,-138.1,-4.6784392017324
3.2,5.65,0,-138,-4.6655552878852
3.2,5.65,0,-137.9,-4.65244550720005
3.2,5.65,0,-137.8,-4.63911262784355
3.2,5.65,0,-137.7,-4.62555943567114
3.2,5.65,0,-137.6,-4.61178873271806
3.2,5.65,0,-137.5,-4.59780333570827
3.2,5.65,0,-137.4,-4.58360607458243
3.2,5.65,0,-137.3,-4.56919979104596
3.2,5.65,0,-137.2,-4.55458733713833
3.2,5.65,0,-137.1,-4.53977157382448
3.2,5.65,0,-137,-4.52475536960913
3.2,5.65,0,-136.9,-4.50954159917509
3.2,5.65,0,-136.8,-4.49413314204621
3.2,5.65,0,-136.7,-4.47853288127555
3.2,5.65,0,-136.6,-4.46274370215987
3.2,5.65,0,-136.5,-4.44676849098054
3.2,5.65,0,-136.4,-4.43061013377176
3.2,5.65,0,-136.3,-4.41427151511659
3.2,5.65,0,-136.2,-4.39775551697101
3.2,5.65,0,-136.1,-4.38106501751668
3.2,5.65,0,-136,-4.36420289004257
3.2,5.65,0,-135.9,-4.34717200185578
3.2,5.65,0,-135.8,-4.32997521322194
3.2,5.65,0,-135.7,-4.3126153763351
3.2,5.65,0,-135.6,-4.29509533431767
3.2,5.65,0,-135.5,-4.27741792025003
3.2,5.65,0,-135.4,-4.25958595623035
3.2,5.65,0,-135.3,-4.24160225246432
3.2,5.65,0,-135.2,-4.22346960638486
3.2,5.65,0,-135.1,-4.20519080180189
3.2,5.65,0,-135,-4.18676860808185
3.2,5.65,0,-134.9,-4.16820577935691
3.2,5.65,0,-134.8,-4.14950505376388
3.2,5.65,0,-134.7,-4.13066915271234
3.2,5.65,0,-134.6,-4.11170078018208
3.2,5.65,0,-134.5,-4.0926026220492
